欄位	值
狀態	成功
遷移數	104
狀態遷移起始時間UTC	2026-09-07T06:12:26Z
遷移完成時間UTC	2026-09-07T07:00:30Z
矩陣SHA256	bc476648e1e6ca96c931b2539abafb18b28ffefc21eff74df02456da0f807b2b
遷移工具SHA256	7ff95f5b03ce16f8f3e1e246c3266162e9cb22a050c41cf52b0085a7cd31e138
政策工具SHA256	38c61065f2ee2c02ceecf895a0f92ae480500d0c6f8248e1b5cc39e004ed95d9
稽核工具SHA256	1216968d9fe5419e7bba9e9fe827055c7026076179b1bb2ccbb6011945c9a4b9
完整SHA256與XZ稽核	yes
遷移後零待辦	yes
驗證工作數	12
稽核範圍	僅候選；既有正式映像本體未驗證
