目錄	檔案數	大小bytes	處置	路徑
.staging-bpi-cm5pro-ed089ec4916d	0	0	先保留；正式收斂後依清冊處理	/media/pi/SMCI/bpi/google-drive-upload/2026/2026.08/.staging-bpi-cm5pro-ed089ec4916d
.staging-bpi-cm6-ed089ec4916d	0	0	先保留；正式收斂後依清冊處理	/media/pi/SMCI/bpi/google-drive-upload/2026/2026.08/.staging-bpi-cm6-ed089ec4916d
.staging-bpi-m1p-cca2262279b3	0	0	先保留；正式收斂後依清冊處理	/media/pi/SMCI/bpi/google-drive-upload/2026/2026.08/.staging-bpi-m1p-cca2262279b3
.staging-bpi-m5-0c4e163c7c51	0	0	先保留；正式收斂後依清冊處理	/media/pi/SMCI/bpi/google-drive-upload/2026/2026.08/.staging-bpi-m5-0c4e163c7c51
.staging-bpi-m5-4132a46d3a56	0	0	先保留；正式收斂後依清冊處理	/media/pi/SMCI/bpi/google-drive-upload/2026/2026.08/.staging-bpi-m5-4132a46d3a56
.staging-bpi-m5-7b3938130c3a	0	0	先保留；正式收斂後依清冊處理	/media/pi/SMCI/bpi/google-drive-upload/2026/2026.08/.staging-bpi-m5-7b3938130c3a
