板號	原始檔	原始位元組	原始行數	原始SHA256	提交解壓SHA256	壓縮SHA256	啟動次數	容量MiB	Rank	寬度	行位元	列位元	rc通過	rc失敗	核心啟動	登入	暖重啟	正常關機	結果	備註
0845	0845.txt	64267	1327	40afc6151e2ce9282a2268ba74fb0ecf826d197fc487cd5d234abfd33b62b923	793e408b0fc40b08864a5510fb41ce295fb7c293aa7095c26e78e66e3129a215	53e0bf1ce5c97d4ab510b493571a38a4f9ec3ca3bb65b342a2fd56664be30ec0	2	4096	2	32	16	10	8	0	2	2	1	1	G1通過	第一次完成帳號初始化後暖重啟；第二次正常關機；提交日誌已遮蔽Wi-Fi憑證
0438	0438.txt	28183	522	16ff95044bc6b4905f222d95691c98d8538896b7339b6e18c09d936974952559	16ff95044bc6b4905f222d95691c98d8538896b7339b6e18c09d936974952559	ff0cafbcc45a648b108f1e7d151634dfd99d5ff22921b3bbc0e03c37fbc278a1	1	4096	2	32	16	10	4	0	1	1	0	1	G1通過	未見致命核心或檔案系統錯誤
0256	0256.txt	25344	486	9478ec46425ac1df8eb3692bdfef5b99893b6233ed32e61a41655b2bd7c1d4ef	9478ec46425ac1df8eb3692bdfef5b99893b6233ed32e61a41655b2bd7c1d4ef	19f36d5e2682487db125db6ebce0572ff5b70a601fbfa746141a4675339c2494	1	2048	1	32	16	10	4	1	1	1	0	1	DDR與啟動G1通過	雙Rank探測預期失敗後正確退回單Rank；Bluetooth reset timeout待修
1116	1116.txt	27528	515	6c971cf3e0b7e4e29d59d337ddbc2b0147fc7c8f0f65423b3e714f1392971f9c	6c971cf3e0b7e4e29d59d337ddbc2b0147fc7c8f0f65423b3e714f1392971f9c	e847810e4d6a04a5e445010bc4784d23a1fc41788214b8dd7c3ff8a174cc8ee1	1	4096	2	32	16	10	4	0	1	1	0	1	G1通過	未見致命核心或檔案系統錯誤
